release_date,region,issue,epiweek,lag,num_ili,num_patients,num_providers,num_age_0,num_age_1,num_age_2,num_age_3,num_age_4,num_age_5,wili,ili
2013-12-31,hhs9,201352,201010,198,1858,83849,234,476.0,659.0,,349.0,203.0,171.0,3.14839307782645,2.21588808453291
2013-12-31,nat,201352,201010,198,14354,768702,1946,4612.0,5270.0,,2660.0,1112.0,700.0,1.89658616483482,1.86730358448397
2013-12-31,hhs1,201352,201011,197,183,32655,135,53.0,81.0,,27.0,17.0,5.0,0.509446552025,0.560404225999081
2013-12-31,hhs10,201352,201011,197,146,11537,47,54.0,58.0,,22.0,8.0,4.0,1.16529782310064,1.26549362919303
2013-12-31,hhs2,201352,201011,197,1710,108859,183,662.0,597.0,,294.0,101.0,56.0,1.35152518851041,1.57083934263589
2013-12-31,hhs3,201352,201011,197,1605,102775,211,409.0,560.0,,416.0,148.0,72.0,1.56712272030667,1.56166382875213
2013-12-31,hhs4,201352,201011,197,3277,156066,443,1178.0,1291.0,,527.0,177.0,104.0,1.82502673068723,2.09975266874271
2013-12-31,hhs5,201352,201011,197,922,88066,247,317.0,311.0,,198.0,56.0,40.0,0.902605526392665,1.04694206617764
2013-12-31,hhs6,201352,201011,197,1841,74093,182,554.0,577.0,,434.0,183.0,93.0,2.15222083000507,2.48471515527783
2013-12-31,hhs7,201352,201011,197,548,28398,122,146.0,230.0,,97.0,34.0,41.0,1.96924425843794,1.92971336009578
2013-12-31,hhs8,201352,201011,197,606,60997,131,214.0,176.0,,115.0,45.0,56.0,0.949060095490471,0.993491483187698
2013-12-31,hhs9,201352,201011,197,1763,77847,232,476.0,585.0,,338.0,207.0,157.0,3.27749142410558,2.26469870386784
2013-12-31,nat,201352,201011,197,12601,741293,1933,4063.0,4466.0,,2468.0,976.0,628.0,1.75180555050134,1.69986766366336
2013-12-31,hhs1,201352,201012,196,189,34808,136,54.0,87.0,,29.0,16.0,3.0,0.516423973844147,0.54297862560331
2013-12-31,hhs10,201352,201012,196,114,11462,45,55.0,37.0,,9.0,9.0,4.0,0.877128034014563,0.9945908218461
2013-12-31,hhs2,201352,201012,196,1632,110932,181,648.0,579.0,,264.0,92.0,49.0,1.37088000132617,1.47117152850395
2013-12-31,hhs3,201352,201012,196,1470,104486,216,320.0,611.0,,368.0,117.0,54.0,1.37766805272543,1.40688704706851
2013-12-31,hhs4,201352,201012,196,2897,157087,430,1049.0,1217.0,,423.0,129.0,79.0,1.60866339375158,1.84420098416801
2013-12-31,hhs5,201352,201012,196,754,82106,234,303.0,244.0,,128.0,38.0,41.0,0.827048049780466,0.918325091954303
2013-12-31,hhs6,201352,201012,196,1671,79013,189,483.0,555.0,,385.0,178.0,70.0,1.8883219278833,2.11484186146583
2013-12-31,hhs7,201352,201012,196,379,29843,119,86.0,138.0,,78.0,34.0,43.0,1.41759265925776,1.26997955969574
2013-12-31,hhs8,201352,201012,196,590,60890,132,234.0,151.0,,119.0,43.0,43.0,0.845689973463094,0.968960420430284
2013-12-31,hhs9,201352,201012,196,1495,76731,235,393.0,489.0,,294.0,171.0,148.0,2.75007724599975,1.94836506757373
2013-12-31,nat,201352,201012,196,11191,747358,1917,3625.0,4108.0,,2097.0,827.0,534.0,1.52631922263178,1.49740820329748
2013-12-31,hhs1,201352,201013,195,191,33172,135,45.0,106.0,,21.0,11.0,8.0,0.573967915888988,0.575786808151453
2013-12-31,hhs10,201352,201013,195,99,10974,40,41.0,31.0,,19.0,4.0,4.0,0.684961439190928,0.902132312739202
2013-12-31,hhs2,201352,201013,195,1563,101304,179,646.0,511.0,,280.0,67.0,59.0,1.3805599052723,1.54288083392561
2013-12-31,hhs3,201352,201013,195,1331,95550,202,326.0,508.0,,313.0,113.0,71.0,1.34913372697201,1.39298796441654
2013-12-31,hhs4,201352,201013,195,2525,151102,427,902.0,1047.0,,374.0,129.0,73.0,1.51507533874838,1.67105663723842
2013-12-31,hhs5,201352,201013,195,730,83166,235,246.0,220.0,,166.0,55.0,43.0,0.763555498462462,0.877762547194767
2013-12-31,hhs6,201352,201013,195,1390,74234,184,436.0,483.0,,284.0,123.0,64.0,1.65918760713587,1.87245736454994
2013-12-31,hhs7,201352,201013,195,323,27827,115,86.0,102.0,,71.0,28.0,36.0,1.20007731648777,1.16074316311496
2013-12-31,hhs8,201352,201013,195,542,57695,132,185.0,168.0,,98.0,54.0,37.0,0.822982407771647,0.939422826934743
2013-12-31,hhs9,201352,201013,195,1665,78839,226,495.0,557.0,,328.0,152.0,133.0,3.03478906633485,2.11189893326907
2013-12-31,nat,201352,201013,195,10359,713863,1875,3408.0,3733.0,,1954.0,736.0,528.0,1.49571988362904,1.45111877208932
2013-12-31,hhs1,201352,201014,194,249,34370,129,54.0,111.0,,41.0,25.0,18.0,0.627147302227601,0.724469013674716
2013-12-31,hhs10,201352,201014,194,110,11189,42,42.0,42.0,,17.0,1.0,8.0,0.784228641195425,0.98310841004558
2013-12-31,hhs2,201352,201014,194,1258,106152,168,561.0,342.0,,249.0,69.0,37.0,1.01854891625369,1.18509307408245
2013-12-31,hhs3,201352,201014,194,1101,97589,198,312.0,385.0,,250.0,86.0,68.0,1.1807681424169,1.1282009242845
2013-12-31,hhs4,201352,201014,194,2050,149915,424,852.0,742.0,,303.0,98.0,55.0,1.18214852860643,1.36744155021179
2013-12-31,hhs5,201352,201014,194,670,86325,234,222.0,223.0,,138.0,44.0,43.0,0.674450708900679,0.776136692730959
2013-12-31,hhs6,201352,201014,194,1283,75828,184,388.0,424.0,,314.0,113.0,44.0,1.48764762838133,1.6919871287651
2013-12-31,hhs7,201352,201014,194,302,30290,117,75.0,111.0,,73.0,26.0,17.0,1.02274199258018,0.997028722350611
2013-12-31,hhs8,201352,201014,194,488,59010,133,159.0,152.0,,94.0,42.0,41.0,0.746085842078468,0.82697847822403
2013-12-31,hhs9,201352,201014,194,1302,79400,221,425.0,401.0,,239.0,140.0,97.0,2.27792651624886,1.63979848866499
2013-12-31,nat,201352,201014,194,8813,730068,1850,3090.0,2933.0,,1718.0,644.0,428.0,1.22313021684613,1.20714782732567
2013-12-31,hhs1,201352,201015,193,170,34785,128,46.0,82.0,,20.0,17.0,5.0,0.480885886130161,0.488716400747449
2013-12-31,hhs10,201352,201015,193,78,9756,37,31.0,31.0,,8.0,7.0,1.0,0.667575946588423,0.799507995079951
2013-12-31,hhs2,201352,201015,193,1488,115235,175,620.0,482.0,,243.0,94.0,49.0,1.25329270754136,1.29127435241029
